Client is frustrated
I'm at risk
Nobody can help me
No one will help me
No-one can help me
No-one will help me
Client is by themselves
Customer is by themselves
Insured is by themselves
She is by herself
He is by himself
They are by themselves
Client is on their own
Customer is on their own
Insured is on their own
She is on her own
He is on his own
They are on their own
Client is alone
Customer is alone
Insured is alone
She is alone
He is alone 
They are alone 
Isolated
I have no support
No support
No family support
I have nobody
I have no one
I have no-one
Client is by themself with this 
Customer by themself with this
Insured is by themself with this
She is by herself with this
He is by himself with this 
They are by themselves with this
Client is by themselves with this
Customer is by themselves with this 
Insured is by themselves with this
She is by themselves with this
He is by themselves with this 
They are by themselves with this
Client has no help
Customer has no help
Insured has no help
She has no help
He has no help
They have no help 
Mental illness
Mental health crisis
Depressive
Low mood
I'm depressed
Im depressed
I am depressed
I feel depressed
I feel down
I feel low
Post traumatic stress
Post-traumatic stress
Post traumatic stress disorder
Flashbacks
Nightmares
Triggered
Dissociation
Dissociating
Psychosis
Hallucinations
Paranoia
Bipolar
Schizophrenia
Borderline personality disorder
Bpd
Ocd
Obsessive compulsive
Eating disorder
I'm not okay
Im not okay
I am not okay
Not coping
Struggling to cope
Suicidal
Self harm
Self-harm
Selfharm
Harm myself
Hurt myself
End my life
Ending my life
Take my life
Kill myself
I want to die
I don't want to live
I'm going to kill myself
Im going to kill myself
I am going to kill myself
Thinking about suicide
Thoughts of suicide
I'm unsafe
Im unsafe
I am unsafe
I feel unsafe
I don't feel safe
Abused
Abusive
Violence
Violent
Partner violence
Coercive control
Controlling partner
Threatened
Threatening
I am being threatened
I'm being threatened
Stalking
Stalked
Harassment
Harassed
Intimidation
Intimidated
Assaulted
Attacked
Restraining order
Protection order
Intervention order
Apprehended violence order
Fvo
Vo
Court order
Safety plan
Client needs emergency accomodation 
Customer needs emergency accomodation
Insured needs emergency accomodation
I need emergency accomodation
She needs emergency accomodation
He needs emergency accomodation
They need emergency accomodation
Died
Dead
Passed away
Passing away
Bereavement
Bereaved
Grief
Grieving
Funeral
Lost my partner
Lost my husband
Lost my wife
Lost my child
Lost my mum
Lost my mom
Lost my dad
My partner died
My husband died
My wife died
My parent died
My child died
Tumour
Tumor
Terminal illness
Life-threatening
Lifethreatening
Serious illness
Chronic illness
Client is ill
Customer is ill
Insured is ill
She is ill
He is ill
They are ill  
Client is very sick
Customer is very sick 
Insured is very sick
She is very sick
He is very sick
They are very sick 
Client is in poor health
Client has poor health
Customer is in poor health
Customer has poor health
Insured is in poor health
Insured has poor health
I am in poor health 
I have poor health
She is in poor health 
She has poor health
He is in poor health
He has poor health
They are in poor health 
They have poor health
Client has health issues
Customer has health issues 
Insured has health issues
I have health issues
She has health issues
 He has health issues
 They have health issues
Medical condition
Medical emergency
In hospital
In the hospital
Hospitalised
Hospitalized
Admitted to hospital
Icu
Intensive care
Client is in surgery
Client needs surgery
Customer is in surgery
Insured is in surgery
Insured needs surgery
She is in surgery
She needs surgery
He is in surgery
He needs surgery
They are in surgery
They need surgery
Have an operation
Having an operation
Will have an operation
Will be having an operation
Had to have an operation
Has to have an operation
Need an operation
Needs an operation
Need a operation
Needs a operation
Treatment
Chemotherapy
Radiotherapy
Dialysis
Stroke
Heart attack
Heart condition
Brain injury
Traumatic brain injury
Tbi
Abi
Acquired brain injury
Rehab
Rehabilitation
Injury
Injured
Severe injury
Pain
Chronic pain
Living with a disability
Special needs
Accessibility needs
Reasonable adjustments
Need extra help
Need assistance
Client needs support
Customer needs support 
Insured needs support
I need support 
She needs support
He needs support
They need support 
Support is needed
Support for client is needed
Support for customer is needed 
Support for Insured is needed
Support for her is needed
Support for his needed
Support for them is needed
Client has a carer
Customer has a carer
Insured has a carer
I have a carer
She has a carer
He has a carer
They have a carer 
Caregiver
Client has a guardian 
Customer has a guardian 
Insured has a guardian 
I have a guardian
She has a guardian
He has a guardian
They have a guardian
Client needs a guardian
Customer needs a guardian
Insured needs a guardian
I need a guardian
She needs a guardian
He needs a guardian
They need a guardian
Client has a power of attorney
Customer has a power of attorney
Insured has a power of attorney
I have a power of attorney
She has a power of attorney
He has a power of attorney
They have a power of attorney
Client needs a power of attorney
Customer needs a power of attorney
Insured needs a power of attorney
I need a power of attorney 
She needs a power of attorney
He needs a power of attorney
They need a power of attorney 
Client has a POA 
Customer has a POA
Insured has a POA
I have a POA
She has a POA 
He has a POA
They have a POA
Client needs a POA
Customer needs a POA 
Insured needs a POA 
I need a POA 
She needs a POA
He needs a POA
They need a POA
Advocate
Case worker
Caseworker
Social worker
Support worker
Ndis
Aged care
In-home care
Home care
Cognitive impairment
Intellectual disability
Learning disability
Developmental delay
Autism
Asd
Dementia
Alzheimer's
Alzheimers
Memory problems
Client is confused
Customer is confused
Insured is confused
She is confused
He is confused
They are confused  
There is confusion
Open to confusion
Hearing impaired
Hard of hearing
Deaf
Vision impaired
Blind
Low vision
Speech impairment
Mobility issues
Wheelchair
Uses a walker
Needs a walker
Has a walker
Will use a walker
Will need a walker
Will have a walker
Limited mobility
Can't understand
Can’t understand
Cannot understand
Cant understand
Don't understand
Do not understand
I don't understand
I do not understand
Im confused
I'm confused
I am confused
This will need to be explained to the client
This will need to be explained to the customer
This will need to be explained to the insured
This will need to be explained to her
This will need to be explained to him
This will need to be explained to them
Please explain to the client
Please explain to the customer
Please explain to the Insured
Please explain to her
Please explain to him
Please explain to them
Explain again to the client
Explain again to the customer
Explain again to the Insured
Explain again to her
Explain again to him 
Explain again to them
I need help understanding
I struggle to understand
Can't read
Cannot read
Cant read
Can’t read
Unable to read
Can't write
Cannot write
Unable to write
Low literacy
Limited literacy
Not good with forms
Difficulty with forms
Can't fill out forms
Cannot fill out forms
Language barrier
Limited english
English is not my first language
English isn't my first language
Eal
Eald
Eal/d
Has a translator 
Needs a translator
Uses a translator
Will need a translator
Will use a translator
Needs use of a translator
Has use of a translator
Need an interpreter
Require an interpreter
Need translation
Translated copy
Speak little english
Financial hardship
Financially stressed
Financial stress
Financial difficulty
Financial difficulties
Is in a stuggle
Will find it a struggle 
Likely to struggle
Will struggle to
Will struggle with
Struggling financially
Money problems
Cash flow issues
No money
Client is broke
Customer is broke
 Insured is broke
I am broke
She is broke
He is broke
They are broke
Cannot afford
Cant afford
Can’t afford
Can't pay
Cannot pay
Cant pay
Can’t pay
Unable to make payment
Unable to make payments
Can't make payment
Can't make payments
Cannot make payment
Cannot make payments
Can't keep up
Cannot keep up
Can't keep up with payments
Cannot keep up with payments
Behind on payments
Missed a payment
Missed payments
Overdue
In arrears
Default payment
Late payment
Payment plan
Need a payment plan
Hardship arrangement
Financial assistance
Lost my job
Job loss
Unemployed
Unemployment
Redundant
Made redundant
Stood down
No income
Reduced income
Hours cut
Single income
Rent overdue
Mortgage overdue
Can't pay rent
Cannot pay rent
Can't pay my mortgage
Cannot pay my mortgage
Eviction
Evicted
Notice to vacate
Facing eviction
Centrelink
Jobseeker
Youth allowance
Disability support pension
Carer payment
Carer allowance
On benefits
Has pay benefits
Has money benefits
Will get pay benefits
Will get money benefits
Entitled to benefits
Welfare
Foodbank
Food bank
At risk of homelessness
Housing crisis
No fixed address
No permanent address
Sleeping rough
Couch surfing
Couch-surfing
Staying in a shelter
Emergency housing
Client needs temporary accomodation
Customer needs temporary accomodation 
Insured needs temporary accomodation
I need temporary accomodation
She needs temporary accomodation
He needs temporary accomodation
They need temporary accomodation 
Staying with friends
Staying with family
Living in my car
Living in car
No safe place to stay
Discriminated
Discrimination
Treated unfairly
Unfair treatment
Harassed because
Racism
Racial abuse
Ableism
Age discrimination
Disability discrimination
Language discrimination
Client needs urgent help
Customer needs urgent help
Insured needs urgent help
She needs urgent help
He needs urgent help
They need urgent help 
This is urgent
Is urgent
Will be urgent
Will become urgent
Need ASAP
Needed ASAP
Will need ASAP
This is required ASAP
Is required ASAP
Required ASAP
Need immediately
Needed immediately
Will need immediately
This is required immediately
Is required immediately
Required immediately 
Need right now
Needed right now
Will need right now
This is required right now
Is required right now
Required right now 
Please help
Please help me
I don't know what to do
I have nowhere to turn
I am overwhelmed
This is causing me stress
This is causing anxiety
This is affecting my mental health
I feel vulnerable
I'm vulnerable
Im vulnerable
I am vulnerable
I can't think straight
Cannot think straight
I am not thinking clearly
Not thinking clearly
I’m by myself
I’m alone
I don’t understand
I’m unsafe
I’m depressed
At their wit's end
At his wit's end
At her wit's end
At their wits end
At his wits end
At her wits end
They can't cope
He can't cope
She can't cope
They can't deal
He can't deal
She can't deal
They are at risk
He is at risk
She is at risk
They are alone
He is alone
She is alone
I'm by themselves with this
I'm by himself with this
I'm by herself with this
They are by myself with this
He is by myself with this
She is by myself with this
They are depressed
He is depressed
She is depressed
They are not okay
He is not okay
She is not okay
Harm themselves
Harm himself
Harm herself
Hurt themselves
Hurt himself
Hurt herself
End their life
End his life
End her life
Ending their life
Ending his life
Ending her life
Take their life
Take his life
Take her life
Kill themselves
Kill himself
Kill herself
They don't want to live
He doesn't want to live
She doesn't want to live
They are going to kill themselves
He is going to kill himself
She is going to kill herself
I am going to kill myself
They are unsafe
He is unsafe
She is unsafe
They don't feel safe
He doesn't feel safe
She doesn't feel safe
They are being threatened
He is being threatened
She is being threatened
Lost their partner
Lost his partner
Lost her partner
Lost their husband
Lost his husband
Lost her husband
Lost their wife
Lost his wife
Lost her wife
Lost their child
Lost his child
Lost her child
Lost their mum
Lost his mum
Lost her mum
Lost their mom
Lost his mom
Lost her mom
Lost their dad
Lost his dad
Lost her dad
Their partner died
His partner died
Her partner died
Their husband died
His husband died
Her husband died
Their wife died
His wife died
Her wife died
Their parent died
His parent died
Her parent died
Their child died
His child died
Her child died
They don't understand
He doesn't understand
She doesn't understand
They are confused
He is confused
She is confused
English is not their first language
English is not his first language
English is not her first language
English isn't their first language
English isn't his first language
English isn't her first language
Lost their job
Lost his job
Lost her job
Can't pay their mortgage
Can't pay his mortgage
Can't pay her mortgage
Cannot pay their mortgage
Cannot pay his mortgage
Cannot pay her mortgage
Living in their car
Living in his car
Living in her car
They don't know what to do
He doesn't know what to do
She doesn't know what to do
They are overwhelmed
He is overwhelmed
She is overwhelmed
This is affecting their mental health
This is affecting his mental health
This is affecting her mental health
They are vulnerable
He is vulnerable
She is vulnerable
They can't think straight
He can't think straight
She can't think straight
They are not thinking clearly
He is not thinking clearly
She is not thinking clearly
I’m by myself
